video,label,ear,mar
5.mp4,5,0.1945,1.7645
5.mp4,5,0.1745,1.7093
5.mp4,5,0.1858,1.6654
5.mp4,5,0.1859,1.7821
5.mp4,5,0.1779,1.7475
5.mp4,5,0.1791,1.7868
5.mp4,5,0.1938,2.1037
5.mp4,5,0.1737,2.1244
5.mp4,5,0.1828,1.6838
5.mp4,5,0.1652,1.8055
5.mp4,5,0.1807,1.6525
5.mp4,5,0.1893,2.1348
5.mp4,5,0.1961,1.9608
5.mp4,5,0.1841,1.8145
5.mp4,5,0.2074,1.8037
5.mp4,5,0.2032,1.937
5.mp4,5,0.181,1.8886
5.mp4,5,0.18,1.8673
5.mp4,5,0.1762,1.9636
5.mp4,5,0.1942,1.8225
5.mp4,5,0.1944,1.89
5.mp4,5,0.1798,1.9491
5.mp4,5,0.1855,1.8143
5.mp4,5,0.1894,1.7678
5.mp4,5,0.1915,1.8499
5.mp4,5,0.1916,1.8863
5.mp4,5,0.1827,1.7734
5.mp4,5,0.1857,1.8817
5.mp4,5,0.1961,2.1172
5.mp4,5,0.168,1.8144
5.mp4,5,0.1652,1.684
5.mp4,5,0.1685,1.6475
5.mp4,5,0.1793,1.5794
5.mp4,5,0.174,1.7559
5.mp4,5,0.1952,1.9094
5.mp4,5,0.176,1.8838
5.mp4,5,0.1958,1.9202
5.mp4,5,0.1843,1.8281
5.mp4,5,0.168,1.7783
5.mp4,5,0.1953,1.8274
5.mp4,5,0.1826,1.7266
5.mp4,5,0.2029,1.7925
5.mp4,5,0.1866,1.8429
5.mp4,5,0.1927,1.8855
5.mp4,5,0.1806,1.8237
5.mp4,5,0.1871,1.8317
5.mp4,5,0.1902,1.6676
5.mp4,5,0.1869,1.8219
5.mp4,5,0.1884,1.7262
5.mp4,5,0.1854,1.9358
5.mp4,5,0.1849,1.9263
5.mp4,5,0.0611,1.8156
5.mp4,5,0.1896,1.8211
5.mp4,5,0.1848,1.724
5.mp4,5,0.1849,1.7611
5.mp4,5,0.1912,1.607
5.mp4,5,0.1774,1.6787
5.mp4,5,0.1814,1.7437
5.mp4,5,0.1352,1.7653
5.mp4,5,0.1792,1.7449
5.mp4,5,0.1787,1.7162
5.mp4,5,0.1984,2.3978
5.mp4,5,0.1877,1.8644
5.mp4,5,0.1926,1.5806
5.mp4,5,0.1924,1.8138
5.mp4,5,0.1988,1.8104
5.mp4,5,0.1905,1.8263
5.mp4,5,0.1844,1.7112
5.mp4,5,0.1708,1.76
5.mp4,5,0.1948,1.8344
5.mp4,5,0.1687,2.0247
5.mp4,5,0.1656,1.8883
5.mp4,5,0.1679,1.8228
5.mp4,5,0.2005,1.2669
5.mp4,5,0.245,0.7401
5.mp4,5,0.1812,2.055
5.mp4,5,0.1856,2.0118
5.mp4,5,0.1745,1.9345
5.mp4,5,0.1793,2.1788
5.mp4,5,0.189,2.3999
5.mp4,5,0.1886,1.9425
5.mp4,5,0.1856,1.9246
5.mp4,5,0.1857,2.0264
5.mp4,5,0.1944,1.8537
5.mp4,5,0.1982,1.885
5.mp4,5,0.0533,1.8875
5.mp4,5,0.1945,2.229
5.mp4,5,0.1887,2.096
5.mp4,5,0.1915,1.9052
5.mp4,5,0.1677,1.814
5.mp4,5,0.1903,1.8989
5.mp4,5,0.1841,1.9651
5.mp4,5,0.2006,2.1882
5.mp4,5,0.1979,1.9671
5.mp4,5,0.1592,1.8614
5.mp4,5,0.1917,2.1345
5.mp4,5,0.196,2.0525
5.mp4,5,0.1894,2.1524
5.mp4,5,0.1844,1.9161
5.mp4,5,0.1866,1.9964
5.mp4,5,0.1369,2.2774
5.mp4,5,0.1799,2.0876
5.mp4,5,0.1824,2.2301
5.mp4,5,0.1782,1.9015
5.mp4,5,0.1633,1.7187
5.mp4,5,0.186,1.6949
5.mp4,5,0.1734,1.594
5.mp4,5,0.1792,2.012
5.mp4,5,0.1932,1.8966
5.mp4,5,0.172,1.7227
5.mp4,5,0.1841,1.8221
5.mp4,5,0.1849,1.9203
5.mp4,5,0.1871,1.998
5.mp4,5,0.1711,1.8283
5.mp4,5,0.1821,1.9277
5.mp4,5,0.178,1.9499
5.mp4,5,0.1819,1.8959
5.mp4,5,0.1897,2.0272
5.mp4,5,0.1851,1.8832
5.mp4,5,0.1641,1.9776
5.mp4,5,0.0603,2.0295
5.mp4,5,0.1901,1.8439
5.mp4,5,0.1826,1.8652
5.mp4,5,0.1834,1.9073
5.mp4,5,0.1962,1.852
5.mp4,5,0.1884,1.9567
5.mp4,5,0.1894,1.9483
5.mp4,5,0.1995,1.9315
5.mp4,5,0.0828,1.9027
5.mp4,5,0.1784,1.656
5.mp4,5,0.1581,1.588
5.mp4,5,0.1919,1.8756
5.mp4,5,0.1832,1.7907
5.mp4,5,0.1702,1.7922
5.mp4,5,0.1873,1.7588
5.mp4,5,0.1944,2.0879
5.mp4,5,0.1877,1.7564
5.mp4,5,0.1731,1.8223
5.mp4,5,0.2062,1.9092
5.mp4,5,0.1638,1.7341
5.mp4,5,0.1776,1.4449
5.mp4,5,0.2057,1.3852
5.mp4,5,0.1577,1.6924
5.mp4,5,0.1588,1.6208
5.mp4,5,0.1838,1.7199
5.mp4,5,0.203,3.7564
5.mp4,5,0.1798,1.7745
5.mp4,5,0.1589,1.6635
5.mp4,5,0.158,1.8039
10.mp4,10,0.179,1.8395
10.mp4,10,0.1166,1.7507
10.mp4,10,0.0384,1.6249
10.mp4,10,0.1684,1.5102
10.mp4,10,0.1461,1.6368
10.mp4,10,0.1713,1.302
10.mp4,10,0.2091,1.562
10.mp4,10,0.1863,1.6762
10.mp4,10,0.1695,1.7337
10.mp4,10,0.1646,1.7492
10.mp4,10,0.1887,1.9687
10.mp4,10,0.1487,1.9273
10.mp4,10,0.1543,2.04
10.mp4,10,0.1934,1.9273
10.mp4,10,0.1903,1.8202
10.mp4,10,0.2031,1.7297
10.mp4,10,0.1413,1.8618
10.mp4,10,0.1617,1.912
10.mp4,10,0.1838,1.9541
10.mp4,10,0.1947,2.0179
10.mp4,10,0.1865,1.9277
10.mp4,10,0.1708,1.9184
10.mp4,10,0.1852,2.132
10.mp4,10,0.1846,1.499
10.mp4,10,0.1827,1.8122
10.mp4,10,0.1794,1.7016
10.mp4,10,0.1227,1.6667
10.mp4,10,0.1681,1.7253
10.mp4,10,0.1825,1.8999
10.mp4,10,0.1918,1.7622
10.mp4,10,0.1872,1.7409
10.mp4,10,0.1813,1.8188
10.mp4,10,0.1899,2.0177
10.mp4,10,0.1754,2.0987
10.mp4,10,0.1915,1.9982
10.mp4,10,0.1771,1.9837
10.mp4,10,0.1784,1.9877
10.mp4,10,0.1728,3.0892
10.mp4,10,0.0652,2.007
10.mp4,10,0.1889,2.1067
10.mp4,10,0.1867,2.02
10.mp4,10,0.1764,1.8751
10.mp4,10,0.1828,1.9201
10.mp4,10,0.1976,3.0847
10.mp4,10,0.1725,3.1969
10.mp4,10,0.1766,1.9907
10.mp4,10,0.1895,2.1674
10.mp4,10,0.1851,2.1671
10.mp4,10,0.1634,2.4562
10.mp4,10,0.1839,2.3101
10.mp4,10,0.1631,2.1469
10.mp4,10,0.1636,2.0509
10.mp4,10,0.1851,1.9771
10.mp4,10,0.1814,1.9563
10.mp4,10,0.1768,1.8948
10.mp4,10,0.1681,1.9759
10.mp4,10,0.1477,2.0768
10.mp4,10,0.17,2.1585
10.mp4,10,0.1657,2.405
10.mp4,10,0.1692,1.9569
10.mp4,10,0.1747,2.2529
10.mp4,10,0.1569,2.3632
10.mp4,10,0.1747,3.3546
10.mp4,10,0.1682,2.1183
10.mp4,10,0.1761,1.9277
10.mp4,10,0.1777,1.9586
10.mp4,10,0.1882,2.1033
10.mp4,10,0.1837,1.7642
10.mp4,10,0.1589,2.3339
10.mp4,10,0.1702,2.5356
10.mp4,10,0.1648,2.5328
10.mp4,10,0.1855,3.2948
10.mp4,10,0.1836,2.6488
10.mp4,10,0.1837,2.4618
10.mp4,10,0.1671,2.0803
10.mp4,10,0.1708,2.1935
10.mp4,10,0.1899,2.6534
10.mp4,10,0.1774,2.0554
10.mp4,10,0.165,1.4954
10.mp4,10,0.1796,1.8918
10.mp4,10,0.1586,1.5849
10.mp4,10,0.1527,1.5483
10.mp4,10,0.1838,1.4831
10.mp4,10,0.1599,1.5147
10.mp4,10,0.1716,1.6827
10.mp4,10,0.1276,1.817
10.mp4,10,0.1154,1.7189
10.mp4,10,0.157,1.6296
10.mp4,10,0.1843,1.5801
10.mp4,10,0.2055,1.6219
10.mp4,10,0.1847,2.0705
10.mp4,10,0.1724,2.7846
10.mp4,10,0.1702,1.8634
10.mp4,10,0.1854,2.0522
10.mp4,10,0.1663,1.6358
10.mp4,10,0.1681,1.925
10.mp4,10,0.155,1.9473
10.mp4,10,0.1547,1.8725
10.mp4,10,0.1781,2.0849
10.mp4,10,0.1758,1.6316
10.mp4,10,0.1501,1.594
10.mp4,10,0.1705,1.6795
10.mp4,10,0.1755,1.9499
10.mp4,10,0.1754,1.8022
10.mp4,10,0.1862,2.3396
10.mp4,10,0.1114,2.7727
10.mp4,10,0.2136,2.5774
10.mp4,10,0.1792,2.0173
10.mp4,10,0.1668,2.0343
10.mp4,10,0.1908,2.2532
10.mp4,10,0.1844,2.3019
10.mp4,10,0.1786,1.9857
10.mp4,10,0.1679,1.9227
10.mp4,10,0.1687,2.7059
10.mp4,10,0.174,2.1185
10.mp4,10,0.1846,2.0825
10.mp4,10,0.1727,2.0557
10.mp4,10,0.1919,1.9735
10.mp4,10,0.1861,1.9453
10.mp4,10,0.1755,1.978
10.mp4,10,0.1677,1.7795
10.mp4,10,0.1781,1.7315
10.mp4,10,0.1706,1.9456
10.mp4,10,0.1635,1.5706
10.mp4,10,0.1834,1.8325
10.mp4,10,0.211,2.0033
10.mp4,10,0.1975,1.9063
10.mp4,10,0.1292,1.7158
10.mp4,10,0.165,1.7444
10.mp4,10,0.1519,1.706
10.mp4,10,0.144,1.7186
10.mp4,10,0.1317,1.6757
10.mp4,10,0.1569,1.648
10.mp4,10,0.1446,1.7431
10.mp4,10,0.1728,1.8212
10.mp4,10,0.1846,1.8052
10.mp4,10,0.17,2.158
10.mp4,10,0.167,1.9627
10.mp4,10,0.1615,2.1766
10.mp4,10,0.1566,1.9736
10.mp4,10,0.1675,1.871
10.mp4,10,0.1553,2.001
10.mp4,10,0.1503,1.9674
10.mp4,10,0.1456,2.0025
10.mp4,10,0.1399,1.7241
10.mp4,10,0.1684,1.869
10.mp4,10,0.1684,1.7957
10.mp4,10,0.1547,1.8067
10.mp4,10,0.1602,1.969
10.mp4,10,0.1579,1.8981
10.mp4,10,0.1544,1.9935
10.mp4,10,0.1437,1.8277
10.mp4,10,0.1495,1.7712
10.mp4,10,0.1511,2.0379
10.mp4,10,0.1493,2.1817
10.mp4,10,0.1431,1.6463
10.mp4,10,0.0541,2.0035
10.mp4,10,0.1568,1.8928
10.mp4,10,0.1606,1.8635
10.mp4,10,0.1288,1.7375
10.mp4,10,0.1544,1.8197
10.mp4,10,0.1589,1.5884
10.mp4,10,0.1631,1.7496
10.mp4,10,0.1597,1.7691
10.mp4,10,0.1377,1.7
10.mp4,10,0.1664,1.6241
10.mp4,10,0.1485,1.6272
10.mp4,10,0.1739,1.696
10.mp4,10,0.1498,2.0036
10.mp4,10,0.1565,1.8481
10.mp4,10,0.1502,1.8347
10.mp4,10,0.1471,2.0664
10.mp4,10,0.1714,1.9521
10.mp4,10,0.1545,1.8734
10.mp4,10,0.1677,1.9281
10.mp4,10,0.1458,1.9534
10.mp4,10,0.1634,2.0105
10.mp4,10,0.1522,2.0448
10.mp4,10,0.1748,2.0486
10.mp4,10,0.1784,2.344
10.mp4,10,0.1446,1.8666
10.mp4,10,0.1747,2.07
10.mp4,10,0.1538,1.4131
10.mp4,10,0.1758,1.9627
10.mp4,10,0.1708,1.7101
10.mp4,10,0.1721,2.2101
10.mp4,10,0.162,2.1632
10.mp4,10,0.0963,2.3449
10.mp4,10,0.1639,2.0592
10.mp4,10,0.1497,2.1078
10.mp4,10,0.1511,1.8897
10.mp4,10,0.131,1.8798
10.mp4,10,0.1499,1.9936
10.mp4,10,0.1607,2.1305
10.mp4,10,0.1803,2.0517
10.mp4,10,0.1719,1.9856
10.mp4,10,0.1727,1.9008
10.mp4,10,0.1656,1.9505
10.mp4,10,0.1613,1.9352
10.mp4,10,0.1691,1.7952
10.mp4,10,0.1497,1.597
10.mp4,10,0.1641,1.7034
10.mp4,10,0.1596,1.8705
10.mp4,10,0.1602,1.7911
10.mp4,10,0.1489,1.7882
10.mp4,10,0.1455,1.8411
10.mp4,10,0.1514,1.7085
10.mp4,10,0.1466,1.8589
10.mp4,10,0.138,1.807
10.mp4,10,0.1419,1.7994
10.mp4,10,0.1492,1.6984
10.mp4,10,0.157,1.7812
10.mp4,10,0.1541,1.8754
10.mp4,10,0.1311,1.795
10.mp4,10,0.1612,1.6775
10.mp4,10,0.1435,1.664
10.mp4,10,0.1759,1.6848
10.mp4,10,0.1673,2.0938
10.mp4,10,0.1575,1.6619
10.mp4,10,0.1624,1.7127
10.mp4,10,0.144,1.6562
10.mp4,10,0.1807,1.8125
10.mp4,10,0.1658,1.8562
10.mp4,10,0.1618,1.6832
10.mp4,10,0.1409,1.8016
10.mp4,10,0.1504,1.6295
10.mp4,10,0.1382,1.6429
10.mp4,10,0.0745,1.6308
10.mp4,10,0.0606,1.7331
10.mp4,10,0.1477,1.7024
10.mp4,10,0.1501,1.6451
10.mp4,10,0.1508,1.5883
10.mp4,10,0.1513,1.561
10.mp4,10,0.159,1.6355
10.mp4,10,0.1612,1.577
10.mp4,10,0.1542,1.612
10.mp4,10,0.1494,1.5768
10.mp4,10,0.1355,1.5912
10.mp4,10,0.1446,1.5718
10.mp4,10,0.136,1.549
10.mp4,10,0.1439,1.6478
10.mp4,10,0.1486,1.5563
10.mp4,10,0.1458,1.5419
10.mp4,10,0.1418,1.4759
10.mp4,10,0.1496,1.5724
10.mp4,10,0.1513,1.7449
10.mp4,10,0.1812,1.5141
10.mp4,10,0.1393,2.632
10.mp4,10,0.1651,1.6191
10.mp4,10,0.1662,1.7498
10.mp4,10,0.1194,1.8023
10.mp4,10,0.1477,1.8114
10.mp4,10,0.1671,1.8336
10.mp4,10,0.1504,1.6539
10.mp4,10,0.1493,1.7007
10.mp4,10,0.1433,1.7627
10.mp4,10,0.1632,1.9917
10.mp4,10,0.1555,1.7333
10.mp4,10,0.1456,1.7963
10.mp4,10,0.1529,1.7121
10.mp4,10,0.1516,1.6825
10.mp4,10,0.061,1.6507
10.mp4,10,0.1376,1.7247
10.mp4,10,0.1476,1.7188
10.mp4,10,0.0961,1.6879
10.mp4,10,0.1434,1.6324
10.mp4,10,0.1532,1.6513
10.mp4,10,0.1395,1.6915
10.mp4,10,0.1574,1.5508
10.mp4,10,0.1469,1.8008
10.mp4,10,0.1731,1.7205
10.mp4,10,0.1516,1.8854
10.mp4,10,0.1585,1.8567
10.mp4,10,0.1668,1.6865
10.mp4,10,0.172,1.7717
10.mp4,10,0.1455,1.7054
10.mp4,10,0.1623,1.7103
10.mp4,10,0.156,1.7478
10.mp4,10,0.1497,1.7414
10.mp4,10,0.1534,1.6954
10.mp4,10,0.1654,1.6641
10.mp4,10,0.1502,1.7694
10.mp4,10,0.1232,1.7234
10.mp4,10,0.1692,1.7259
10.mp4,10,0.1607,1.7599
10.mp4,10,0.1062,1.9492
10.mp4,10,0.1575,1.7061
10.mp4,10,0.1573,1.7213
10.mp4,10,0.1614,1.7766
10.mp4,10,0.1691,1.7632
10.mp4,10,0.1549,1.7585
10.mp4,10,0.1973,1.2717
10.mp4,10,0.147,1.7772
10.mp4,10,0.1623,2.0557
10.mp4,10,0.1527,1.9775
10.mp4,10,0.1425,1.7908
10.mp4,10,0.1556,1.8079
10.mp4,10,0.1559,1.6781
10.mp4,10,0.159,1.7148
10.mp4,10,0.1503,1.7512
10.mp4,10,0.1416,1.6601
10.mp4,10,0.1711,1.8013
10.mp4,10,0.1537,1.6985
10.mp4,10,0.081,1.6489
10.mp4,10,0.1416,1.5662
10.mp4,10,0.1521,1.5255
0.mp4,0,0.1899,1.8309
0.mp4,0,0.1713,1.9268
0.mp4,0,0.1565,1.9881
0.mp4,0,0.1634,1.994
0.mp4,0,0.1898,2.0618
0.mp4,0,0.1776,2.0123
0.mp4,0,0.1778,1.7068
0.mp4,0,0.1616,1.9276
0.mp4,0,0.1936,1.7335
0.mp4,0,0.192,1.7358
0.mp4,0,0.1821,1.71
0.mp4,0,0.152,1.8382
0.mp4,0,0.1824,2.0095
0.mp4,0,0.1667,1.7833
0.mp4,0,0.1599,2.0926
0.mp4,0,0.1651,1.9406
0.mp4,0,0.1677,1.9063
0.mp4,0,0.166,1.9025
0.mp4,0,0.2242,1.9564
0.mp4,0,0.1924,2.1282
0.mp4,0,0.2119,2.0987
0.mp4,0,0.1936,2.1731
0.mp4,0,0.1972,2.1207
0.mp4,0,0.2162,2.1608
0.mp4,0,0.2112,3.1699
0.mp4,0,0.1888,2.2977
0.mp4,0,0.2,3.2637
0.mp4,0,0.2097,2.1582
0.mp4,0,0.2294,3.6053
0.mp4,0,0.1897,2.2856
0.mp4,0,0.2035,2.2453
0.mp4,0,0.1787,2.2083
0.mp4,0,0.1648,2.0716
0.mp4,0,0.1842,2.6448
0.mp4,0,0.1828,2.184
0.mp4,0,0.1906,2.0772
0.mp4,0,0.1778,2.1228
0.mp4,0,0.1834,2.0376
0.mp4,0,0.1835,1.9545
0.mp4,0,0.1836,2.1491
0.mp4,0,0.1631,1.8548
0.mp4,0,0.0179,2.1233
0.mp4,0,0.1469,2.1872
0.mp4,0,0.1939,1.947
0.mp4,0,0.1794,2.0811
0.mp4,0,0.1879,1.9051
0.mp4,0,0.1736,1.9067
0.mp4,0,0.1918,1.9729
0.mp4,0,0.1846,1.9232
0.mp4,0,0.1848,1.9173
0.mp4,0,0.2006,1.9688
0.mp4,0,0.1728,2.0258
0.mp4,0,0.1673,1.8788
0.mp4,0,0.1665,1.9244
0.mp4,0,0.2008,1.6274
0.mp4,0,0.1966,1.786
0.mp4,0,0.1788,1.7822
0.mp4,0,0.1742,1.9398
0.mp4,0,0.1738,1.7779
0.mp4,0,0.1768,1.9146
0.mp4,0,0.1849,1.931
0.mp4,0,0.183,1.993
0.mp4,0,0.1876,2.0186
0.mp4,0,0.1894,2.022
0.mp4,0,0.1997,1.899
0.mp4,0,0.208,2.0153
0.mp4,0,0.2023,2.0479
0.mp4,0,0.1874,2.0016
0.mp4,0,0.1664,2.0996
0.mp4,0,0.1699,1.9594
0.mp4,0,0.1696,1.8443
0.mp4,0,0.184,1.6217
0.mp4,0,0.2037,1.8837
0.mp4,0,0.181,1.8513
0.mp4,0,0.1952,1.7817
0.mp4,0,0.1831,1.8692
0.mp4,0,0.1888,2.85
0.mp4,0,0.1903,2.009
0.mp4,0,0.1906,2.042
0.mp4,0,0.1937,1.8141
0.mp4,0,0.1996,2.0677
0.mp4,0,0.192,2.2214
0.mp4,0,0.1978,1.988
0.mp4,0,0.1925,2.0308
0.mp4,0,0.1869,2.0806
0.mp4,0,0.2004,2.0611
0.mp4,0,0.1699,2.0238
0.mp4,0,0.1629,1.92
0.mp4,0,0.171,1.9489
0.mp4,0,0.1757,2.2355
0.mp4,0,0.1893,2.1045
0.mp4,0,0.192,1.978
0.mp4,0,0.1931,1.9803
0.mp4,0,0.1939,2.0139
0.mp4,0,0.1982,2.0719
0.mp4,0,0.1932,1.9579
0.mp4,0,0.1927,2.0525
0.mp4,0,0.1983,2.0146
0.mp4,0,0.1971,2.1852
0.mp4,0,0.1951,2.0957
0.mp4,0,0.1911,2.0746
0.mp4,0,0.1905,2.0752
0.mp4,0,0.1873,2.1489
0.mp4,0,0.1995,2.3118
0.mp4,0,0.184,2.0414
0.mp4,0,0.1969,2.2418
0.mp4,0,0.1948,2.2296
0.mp4,0,0.198,2.1486
0.mp4,0,0.1912,2.1605
0.mp4,0,0.1753,2.1489
0.mp4,0,0.1774,2.0047
0.mp4,0,0.1917,2.0366
0.mp4,0,0.1831,2.1127
0.mp4,0,0.1832,2.0723
0.mp4,0,0.1897,2.0013
0.mp4,0,0.1931,2.1028
0.mp4,0,0.1951,2.0849
0.mp4,0,0.1917,2.0474
0.mp4,0,0.1938,1.9734
0.mp4,0,0.1929,2.0252
0.mp4,0,0.1796,2.069
0.mp4,0,0.1838,2.0198
0.mp4,0,0.1708,1.8443
0.mp4,0,0.1712,1.9265
0.mp4,0,0.1578,1.7513
0.mp4,0,0.1987,1.8315
0.mp4,0,0.2194,1.859
0.mp4,0,0.1861,2.0553
0.mp4,0,0.1594,2.1224
0.mp4,0,0.1793,1.8397
0.mp4,0,0.1673,1.7747
0.mp4,0,0.1576,2.1536
0.mp4,0,0.1901,2.0584
0.mp4,0,0.1747,2.1142
0.mp4,0,0.1584,1.8194
0.mp4,0,0.1582,1.8196
0.mp4,0,0.1649,1.9483
0.mp4,0,0.1877,2.1111
0.mp4,0,0.1883,2.0099
0.mp4,0,0.1896,1.9385
0.mp4,0,0.1893,1.9324
0.mp4,0,0.1697,1.8921
0.mp4,0,0.1871,1.8698
0.mp4,0,0.1898,1.8575
0.mp4,0,0.1737,2.0174
0.mp4,0,0.1848,1.9493
0.mp4,0,0.1799,1.8258
0.mp4,0,0.184,1.1878
0.mp4,0,0.1887,1.9641
0.mp4,0,0.1868,1.9317
0.mp4,0,0.1868,2.2349
0.mp4,0,0.1805,2.1652
0.mp4,0,0.1922,2.118
0.mp4,0,0.1854,1.9821
0.mp4,0,0.1944,2.0181
0.mp4,0,0.1858,1.9392
0.mp4,0,0.1874,2.0318
0.mp4,0,0.1929,2.0498
0.mp4,0,0.1947,2.0377
0.mp4,0,0.1955,2.0789
0.mp4,0,0.1794,1.9718
0.mp4,0,0.1894,1.9253
0.mp4,0,0.1924,1.9678
0.mp4,0,0.1924,2.0105
0.mp4,0,0.1926,2.0732
0.mp4,0,0.1641,1.948
0.mp4,0,0.1905,2.0122
0.mp4,0,0.1759,1.828
0.mp4,0,0.18,1.8608
0.mp4,0,0.1728,1.9185
0.mp4,0,0.1932,2.02
0.mp4,0,0.1905,1.8953
0.mp4,0,0.1955,1.9098
0.mp4,0,0.2008,1.889
0.mp4,0,0.1877,1.9147
0.mp4,0,0.1901,1.9276
0.mp4,0,0.1832,1.9754
0.mp4,0,0.1947,1.8544
